iso	country	year	eq_tr	r_eq_tr	housing_tr	r_housing_tr	dc
FRA	France	1987	-0.23759	-0.26186	0.12045	0.08477	0.02696
FRA	France	1988	0.62350	0.58081	0.15703	0.12660	0.02573
FRA	France	1989	0.30861	0.26438	0.16734	0.12789	0.01996
FRA	France	1990	-0.21963	-0.24379	0.13181	0.09678	0.01894
FRA	France	1991	0.16629	0.12998	0.09423	0.06016	0.00151
FRA	France	1992	0.04760	0.02341	0.01849	-0.00503	0.00389
FRA	France	1993	0.36441	0.33629	0.03063	0.00938	-0.00868
FRA	France	1994	-0.14313	-0.15708	0.04513	0.02811	0.01006
FRA	France	1995	0.01892	0.00094	0.03917	0.02084	0.01255
FRA	France	1996	0.30595	0.28056	0.05859	0.03801	0.01240
FRA	France	1997	0.27768	0.26248	0.04536	0.03293	0.00146
FRA	France	1998	0.31297	0.30447	0.07247	0.06553	0.03448
FRA	France	1999	0.55628	0.54796	0.11905	0.11307	0.03037
FRA	France	2000	0.00534	-0.01124	0.13620	0.11748	0.03102
FRA	France	2001	-0.19238	-0.20537	0.12331	0.10524	0.02005
FRA	France	2002	-0.29273	-0.30607	0.12906	0.10775	0.01518
FRA	France	2003	0.21223	0.18731	0.15775	0.13395	0.01221
FRA	France	2004	0.12998	0.10628	0.18774	0.16283	0.01965
FRA	France	2005	0.28433	0.26229	0.18682	0.16645	0.01642
FRA	France	2006	0.22561	0.20542	0.14980	0.13086	0.01796
FRA	France	2007	0.03063	0.01552	0.09270	0.07668	0.00539
FRA	France	2008	-0.40893	-0.42510	0.03427	0.00597	-0.00100
FRA	France	2009	0.29032	0.28919	-0.04475	-0.04559	0.00119
FRA	France	2010	0.04189	0.02618	0.08001	0.06372	0.01330
FRA	France	2011	-0.13389	-0.15180	0.08704	0.06456	0.00132
FRA	France	2012	0.20369	0.18062	0.02206	0.00247	-0.00908
FRA	France	2013	0.22217	0.21171	0.00595	-0.00267	-0.00007
FRA	France	2014	0.02708	0.02190	0.01019	0.00509	0.00343
FRA	France	2015	0.11945	0.11903	0.01063	0.01025	0.01113
ITA	Italy	1950	0.09795	0.10560	0.02974	0.03691	0.02494
ITA	Italy	1951	0.13668	-0.00541	0.21228	0.06075	0.02545
ITA	Italy	1952	0.41880	0.39290	0.04753	0.02841	0.05908
ITA	Italy	1953	0.08180	0.06665	0.03888	0.02434	0.05777
ITA	Italy	1954	0.34936	0.30847	0.07571	0.04311	0.00792
ITA	Italy	1955	0.07480	0.04319	0.05734	0.02624	0.03914
ITA	Italy	1956	0.04603	0.01614	0.06712	0.03663	0.04177
ITA	Italy	1957	0.03657	0.02197	0.06733	0.05229	0.04445
ITA	Italy	1958	0.29207	0.25667	0.05007	0.02131	0.03503
ITA	Italy	1959	0.60400	0.60400	0.04701	0.04701	0.04153
ITA	Italy	1960	0.23028	0.21365	0.08383	0.06919	0.05523
ITA	Italy	1961	0.05376	0.02602	0.10609	0.07698	0.06670
ITA	Italy	1962	-0.13783	-0.17057	0.13920	0.09594	0.07054
ITA	Italy	1963	-0.11273	-0.17536	0.15482	0.07331	0.08773
ITA	Italy	1964	-0.22266	-0.26585	0.17531	0.11001	0.03322
ITA	Italy	1965	0.25353	0.20018	0.05562	0.01070	0.02701
ITA	Italy	1966	0.00905	-0.02216	0.06906	0.03600	0.06086
ITA	Italy	1967	0.04693	0.01552	0.07243	0.04025	0.06346
ITA	Italy	1968	0.05510	0.03441	0.14579	0.12332	0.04623
ITA	Italy	1969	0.18874	0.16588	0.09040	0.06943	0.06342
ITA	Italy	1970	-0.16629	-0.20454	0.11604	0.06485	0.05192
ITA	Italy	1971	-0.13208	-0.17736	0.08347	0.02694	0.03220
ITA	Italy	1972	0.13676	0.08040	0.14696	0.09008	0.02694
ITA	Italy	1973	0.19723	0.08108	0.14807	0.03669	0.05084
ITA	Italy	1974	-0.27807	-0.39538	0.95594	0.63810	0.02382
ITA	Italy	1975	-0.01970	-0.16124	0.05788	-0.09486	-0.00358
ITA	Italy	1976	-0.07536	-0.20685	0.29408	0.11006	0.03838
ITA	Italy	1977	-0.25169	-0.36277	0.10139	-0.06210	0.02656
ITA	Italy	1978	0.31607	0.17391	0.14079	0.01757	0.02242
ITA	Italy	1979	0.09938	-0.04097	0.27502	0.11225	0.06292
ITA	Italy	1980	0.83847	0.51593	0.40840	0.16131	0.05597
ITA	Italy	1981	0.08285	-0.08073	0.32348	0.12355	0.01481
ITA	Italy	1982	-0.08782	-0.21623	0.16040	-0.00295	0.00905
ITA	Italy	1983	0.32557	0.15644	0.10840	-0.03302	-0.00225
ITA	Italy	1984	0.20127	0.08374	0.04732	-0.05515	0.02863
ITA	Italy	1985	0.99938	0.83079	0.05685	-0.03226	0.02812
ITA	Italy	1986	0.73319	0.63822	0.06859	0.01004	0.04000
ITA	Italy	1987	-0.28499	-0.31730	0.10264	0.05282	0.03583
ITA	Italy	1988	0.27984	0.21759	0.18197	0.12447	0.03967
ITA	Italy	1989	0.12505	0.05916	0.22976	0.15773	0.03840
ITA	Italy	1990	-0.28007	-0.32399	0.24698	0.17091	0.01956
ITA	Italy	1991	0.04991	-0.01231	0.18052	0.11055	0.02631
ITA	Italy	1992	-0.01859	-0.06604	0.18303	0.12584	0.01583
ITA	Italy	1993	0.51399	0.44912	0.06082	0.01537	-0.03203
ITA	Italy	1994	0.09471	0.05233	0.01736	-0.02203	0.01515
ITA	Italy	1995	-0.00282	-0.05251	0.05503	0.00246	0.01470
ITA	Italy	1996	0.07913	0.03803	0.07578	0.03482	0.00915
ITA	Italy	1997	0.59717	0.56819	0.06592	0.04658	0.03071
ITA	Italy	1998	0.45186	0.42295	0.04236	0.02161	0.03364
ITA	Italy	1999	0.23055	0.21056	0.05436	0.03724	0.02498
ITA	Italy	2000	0.08858	0.06120	0.08839	0.06101	0.02295
ITA	Italy	2001	-0.22175	-0.23943	0.10820	0.08303	0.00619
ITA	Italy	2002	-0.18566	-0.20638	0.15118	0.12188	-0.00142
ITA	Italy	2003	0.17216	0.14009	0.09978	0.06969	0.00192
ITA	Italy	2004	0.26379	0.23590	0.10501	0.08062	-0.00314
ITA	Italy	2005	0.20897	0.18287	0.10536	0.08150	-0.00152
ITA	Italy	2006	0.22232	0.19566	0.09011	0.06633	0.01511
ITA	Italy	2007	-0.04195	-0.06097	0.07691	0.05554	-0.00290
ITA	Italy	2008	-0.46840	-0.48634	0.04693	0.01160	-0.02406
ITA	Italy	2009	0.22565	0.21634	0.02471	0.01693	-0.02676
ITA	Italy	2010	-0.07459	-0.08934	0.02434	0.00802	0.00885
ITA	Italy	2011	-0.21319	-0.23563	0.03922	0.00958	-0.00107
ITA	Italy	2012	0.13068	0.09440	-0.01082	-0.04256	-0.04055
ITA	Italy	2013	0.22843	0.21333	-0.02137	-0.03341	-0.03634
ITA	Italy	2014	0.03466	0.03225	-0.00545	-0.00777	-0.00743
ITA	Italy	2015	0.17594	0.17466	0.01364	0.01253	0.01912
NLD	Netherlands	1950	0.02515	-0.05949	0.05347	-0.03351	0.00018
NLD	Netherlands	1951	0.03893	-0.07178	0.10508	-0.01267	-0.03553
NLD	Netherlands	1952	-0.04734	-0.04734	0.10437	0.10437	-0.00548
NLD	Netherlands	1953	0.22624	0.22624	0.16138	0.16138	0.04238
NLD	Netherlands	1954	0.72942	0.66290	0.15891	0.11433	0.05293
NLD	Netherlands	1955	0.22892	0.20574	0.20375	0.18104	0.05282
NLD	Netherlands	1956	0.11082	0.09025	0.18510	0.16315	0.06027
NLD	Netherlands	1957	-0.07763	-0.13062	0.12338	0.05884	-0.00963
NLD	Netherlands	1958	0.40306	0.37310	0.12910	0.10499	-0.01162
NLD	Netherlands	1959	0.32759	0.31357	0.19666	0.18402	0.02920
NLD	Netherlands	1960	0.07463	0.05023	0.18145	0.15462	0.04765
NLD	Netherlands	1961	0.05401	0.04041	0.23679	0.22083	0.03993
NLD	Netherlands	1962	-0.05242	-0.07360	0.20776	0.18077	0.04560
NLD	Netherlands	1963	0.13272	0.09607	0.12462	0.08824	0.05586
NLD	Netherlands	1964	0.17243	0.10825	0.12057	0.05923	0.04454
NLD	Netherlands	1965	-0.07081	-0.12171	-0.03671	-0.08947	0.05935
NLD	Netherlands	1966	-0.14302	-0.18997	-0.03438	-0.08729	0.01873
NLD	Netherlands	1967	0.33058	0.28574	0.14137	0.10291	0.04172
NLD	Netherlands	1968	0.34616	0.29844	0.14078	0.10034	0.05403
NLD	Netherlands	1969	-0.03080	-0.09781	0.36570	0.27127	0.06333
NLD	Netherlands	1970	-0.04418	-0.07811	0.28946	0.24369	0.05874
NLD	Netherlands	1971	-0.05353	-0.11938	0.19230	0.10934	0.01984
NLD	Netherlands	1972	0.30857	0.21398	0.16586	0.08159	0.01572
NLD	Netherlands	1973	-0.13726	-0.20127	0.18692	0.09886	0.03705
NLD	Netherlands	1974	-0.19213	-0.26295	0.17582	0.07274	0.02383
NLD	Netherlands	1975	0.47473	0.33808	0.18410	0.07438	0.02085
NLD	Netherlands	1976	0.05433	-0.03324	0.36457	0.25124	0.04602
NLD	Netherlands	1977	0.09302	0.02656	0.43101	0.34400	0.03445
NLD	Netherlands	1978	0.05776	0.01629	0.11822	0.07438	0.03902
NLD	Netherlands	1979	0.11091	0.06603	-0.01666	-0.05639	0.00610
NLD	Netherlands	1980	0.18620	0.11337	-0.04287	-0.10163	-0.00902
NLD	Netherlands	1981	-0.00594	-0.06878	-0.05352	-0.11336	-0.04485
NLD	Netherlands	1982	0.24104	0.17231	-0.05309	-0.10553	-0.01373
